# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
4780.74164134 6.6164133293e-07 1.24284747078e-06 1.30595013013e-06 -6.38387346891e-07
4830.54103343 1.09078490972e-06 5.45096139831e-07 7.10257214696e-07 -1.09441295002e-06
4880.34042553 6.70305316962e-07 -8.63961586858e-08 2.30191480735e-08 -7.38936995945e-07
4930.13981763 1.89310187539e-07 -1.92510799648e-07 -3.47703821748e-08 -2.32301338362e-07
4979.93920973 -3.17461291475e-07 -2.18599203635e-07 -4.50916048316e-08 2.14974223278e-07
5029.73860182 -4.99702657956e-07 6.59811544503e-07 8.39929001605e-07 3.40049701026e-07
5079.53799392 -2.03583446875e-07 6.65937343491e-07 7.40286691251e-07 7.18429100417e-10
5129.33738602 -1.25569078561e-08 6.0902597501e-07 6.52602288067e-07 -1.6050203379e-07
5179.13677812 1.35536634562e-07 5.18016598929e-07 5.2069353989e-07 -2.8327266564e-07
5228.93617021 2.26717623748e-07 2.12292391252e-07 1.97842241732e-07 -3.39772776696e-07
5278.73556231 1.31005344056e-07 7.65199374773e-08 1.0256110784e-07 -2.11494429201e-07
5328.53495441 -2.39495958272e-08 -1.11336054497e-07 -1.16643336054e-07 -8.78967516756e-08
5378.3343465 -2.92315544236e-07 -9.81838009701e-08 -1.17999306692e-07 2.30739745264e-07
5428.1337386 -3.51239512802e-07 -9.17160359537e-09 -8.54329131243e-09 3.18027017749e-07
5477.9331307 -3.49722672768e-07 8.36873828733e-08 9.1424981987e-08 3.34453478084e-07
5527.7325228 -3.37469501145e-07 -2.18281830757e-08 2.68817238633e-08 3.47776044354e-07
5577.53191489 -5.48611072743e-07 7.80606818491e-09 1.42882990128e-07 5.31002462982e-07
5627.33130699 -6.37914680569e-07 1.80751524451e-07 3.58459857511e-07 5.51028477599e-07
5677.13069909 -6.69247058844e-07 4.16120086672e-07 4.75908639007e-07 4.17119800203e-07
5726.93009119 -4.84140482922e-07 5.25446552387e-07 5.39087921623e-07 3.14972279522e-07
5776.72948328 -3.64042496646e-07 4.9007691781e-07 4.98115059754e-07 2.04845790841e-07
