# 1:t 2:E_GW_dot 3:E_GW 4:J_GW_dot 5:J_GW
369.6 4.5763874762e-09 8.48435794374e-07 9.20865403e-07 8.0550336585e-05
372.0 4.54904295084e-09 8.59386310887e-07 1.00902875258e-06 8.28662095717e-05
374.4 4.59965304981e-09 8.70364746088e-07 1.1218583585e-06 8.5423274105e-05
376.8 4.78806474428e-09 8.81630007441e-07 1.28483498888e-06 8.83113061218e-05
379.2 5.16046204572e-09 8.93568239589e-07 1.51434823644e-06 9.16703259922e-05
381.6 5.82516562384e-09 9.06750992792e-07 1.82208765845e-06 9.56740490661e-05
384.0 7.08415441499e-09 9.22242176839e-07 2.23544576237e-06 0.000100543089171
386.4 9.69562113746e-09 9.42377907502e-07 2.81054575938e-06 0.000106598278997
388.8 1.56263071099e-08 9.72764221398e-07 3.65381141649e-06 0.000114355507608
391.2 2.97268974818e-08 1.02718806691e-06 4.96083247034e-06 0.000124693080272
393.6 6.2428303184e-08 1.13777430771e-06 7.01653103293e-06 0.000139065916476
396.0 1.32572379646e-07 1.3717751271e-06 1.01302573912e-05 0.000159642062585
398.4 2.69376227367e-07 1.85411345552e-06 1.46013531861e-05 0.000189319995278
400.8 5.15348380345e-07 2.79578298477e-06 2.07823646639e-05 0.000231780456698
403.2 9.29020351628e-07 4.52902546314e-06 2.90846513229e-05 0.000291620875882
405.6 1.57403653607e-06 7.53269372837e-06 3.97230569081e-05 0.000374190125759
408.0 2.48091322684e-06 1.23986334439e-05 5.23484869044e-05 0.000484675978334
410.4 3.60697026568e-06 1.97040936349e-05 6.6017924896e-05 0.000626715672495
412.8 4.85671254338e-06 2.98605130058e-05 7.96369589476e-05 0.000801501533107
415.2 6.13680541764e-06 4.3052734559e-05 9.24247039992e-05 0.00100797552864
417.6 7.32440680765e-06 5.92061892293e-05 0.000103978733063 0.00124365965312
420.0 8.17982481272e-06 7.78112671738e-05 0.000114116190272 0.00150537356112
422.4 8.39237371048e-06 9.76979054016e-05 0.000122873361883 0.00178976102371
424.8 7.79139030453e-06 0.00011711842222 0.000130605145071 0.00209393523205
427.2 6.5266409344e-06 0.000134300059706 0.000137856968502 0.00241608976834
429.6 5.03259011599e-06 0.000148171136967 0.000145027436056 0.00275555105381
432.0 3.77667266869e-06 0.000158742252308 0.000152203016195 0.00311222759651
434.4 2.98719951581e-06 0.00016685889893 0.000159322970307 0.00348605878031
436.8 2.6095426849e-06 0.000173574989571 0.000166339242318 0.00387685343546
439.2 2.47829738597e-06 0.000179680397656 0.000173031206268 0.00428409797377
441.6 2.44904385343e-06 0.000185593207143 0.000178700209518 0.00470617567271
444.0 2.41270206148e-06 0.000191427302241 0.00018229455818 0.00513936939395
446.4 2.30918249574e-06 0.00019709356371 0.000183028487725 0.00557775704903
448.8 2.15291865078e-06 0.000202448085085 0.000180907417136 0.00601448013487
451.2 2.0067116356e-06 0.000207439641429 0.000176730849984 0.00644364605541
453.6 1.92212201871e-06 0.000212154241814 0.000171789974537 0.00686187104484
456.0 1.90888405924e-06 0.000216751449108 0.000167550359204 0.00726907944533
458.4 1.94502080816e-06 0.000221376134949 0.000165213710016 0.00766839632839
460.8 1.99976760883e-06 0.000226109881049 0.000165130306014 0.00806480914763
463.2 2.04758769881e-06 0.000230966707418 0.000166516095821 0.00846278482983
465.6 2.07040797498e-06 0.000235908302227 0.000167890940796 0.00886407327377
468.0 2.05909997275e-06 0.000240863711764 0.000167985082706 0.00926712450197
470.4 2.01660524603e-06 0.000245754558027 0.000166397281028 0.00966838333845
472.8 1.95416710527e-06 0.000250519484848 0.000163558795979 0.0100643306309
475.2 1.88361718294e-06 0.000255124825994 0.000160217751311 0.0104528624876
477.6 1.81463385572e-06 0.00025956272724 0.000157001330332 0.0108335253856
480.0 1.75587088756e-06 0.000263847332932 0.000154333700384 0.0112071274224
482.4 1.71470071614e-06 0.000268012018857 0.000152506315026 0.0115753354409
484.8 1.69442855516e-06 0.000272102973982 0.000151627362997 0.0119402958546
487.2 1.69149706185e-06 0.000276166084723 0.00015150584621 0.0123040557056
489.6 1.69635055221e-06 0.00028023150186 0.000151704925386 0.0126679086315
492.0 1.69889951406e-06 0.000284305801939 0.000151792808001 0.0130321059116
494.4 1.69420668822e-06 0.000288377529382 0.000151570165904 0.0133961414803
496.8 1.6834090014e-06 0.000292430668209 0.000151092863028 0.013759337115
499.2 1.67051905212e-06 0.000296455381874 0.000150536833998 0.0141212927514
501.6 1.65934046202e-06 0.000300451213291 0.000150070628298 0.0144820217062
504.0 1.65243737124e-06 0.000304425346691 0.00014981210754 0.0148418809892
506.4 1.65098779435e-06 0.000308389456889 0.000149820804404 0.0152014404835
508.8 1.65452129694e-06 0.000312356067799 0.000150082677124 0.0155613246614
511.2 1.66105574474e-06 0.000316334760249 0.000150512985117 0.015922039456
513.6 1.66803227609e-06 0.000320329665874 0.000150998233462 0.0162838529183
516.0 1.67336737597e-06 0.000324339345456 0.00015144439655 0.0166467840743
518.4 1.67586296368e-06 0.000328358421864 0.000151795213821 0.0170106716068
520.8 1.67512824636e-06 0.000332379611316 0.000152028897261 0.0173752605401
523.2 1.67158578288e-06 0.000336395668151 0.00015215964143 0.0177402867865
525.6 1.66651036487e-06 0.000340401383528 0.000152240671371 0.0181055671619
528.0 1.66159007842e-06 0.00034439510406 0.000152345246761 0.0184710702636
530.4 1.65809240701e-06 0.000348378723043 0.000152529451811 0.0188369199019
532.8 1.65638818395e-06 0.000352356099752 0.000152810525727 0.019203327875
535.2 1.65618145417e-06 0.000356331183318 0.000153176172 0.0195705119122
537.6 1.65696200137e-06 0.000360306955464 0.000153603785342 0.0199386478611
540.0 1.65820491896e-06 0.000364285155769 0.00015406904724 0.0203078552602
542.4 1.65947654877e-06 0.00036826637353 0.000154550890167 0.020678199185
544.8 1.66071918806e-06 0.000372250608414 0.000155044508841 0.0210497136639
547.2 1.66243768594e-06 0.000376238396663 0.000155569869494 0.0214224509179
549.6 1.66535020205e-06 0.000380231742129 0.000156156418521 0.0217965224635
