# 1:time 2:Re 3:Im
3278.4 -3.23421522767e-06 -3.40902463734e-06
3280.8 -2.86434872313e-06 -2.73377447995e-06
3283.2 -1.98657142396e-06 -1.86512218176e-06
3285.6 -1.35879396896e-06 -8.69827683417e-07
3288.0 -1.4212894175e-06 1.10669398007e-07
3290.4 -2.04589082424e-06 9.2611257651e-07
3292.8 -2.78756021701e-06 1.50069774014e-06
3295.2 -3.20886336837e-06 1.93131816224e-06
3297.6 -3.0858551718e-06 2.49733668675e-06
3300.0 -2.53326033994e-06 3.45383000763e-06
3302.4 -1.92669468383e-06 4.70963674469e-06
3304.8 -1.58766320666e-06 5.75212517542e-06
3307.2 -1.55197727334e-06 6.01576887706e-06
3309.6 -1.61886354108e-06 5.37308252089e-06
3312.0 -1.45465733208e-06 4.23576124143e-06
3314.4 -6.45214908293e-07 3.17765838027e-06
3316.8 1.0387958203e-06 2.49159937398e-06
3319.2 3.21677254277e-06 2.09619957613e-06
3321.6 4.94247697197e-06 1.77838088368e-06
3324.0 5.4471156717e-06 1.4226963305e-06
3326.4 4.81281274604e-06 1.00416385005e-06
3328.8 3.81463124173e-06 4.73707975856e-07
3331.2 3.21532490048e-06 -2.33490368448e-07
3333.6 3.29394037316e-06 -1.06935526827e-06
3336.0 3.83169287805e-06 -1.846606355e-06
3338.4 4.31072872958e-06 -2.43108705424e-06
3340.8 4.24551955785e-06 -2.94062594934e-06
3343.2 3.57219420698e-06 -3.63880350895e-06
3345.6 2.68391945833e-06 -4.56850695122e-06
3348.0 1.94549130183e-06 -5.37019212407e-06
3350.4 1.30811930688e-06 -5.58388630566e-06
3352.8 5.89054049462e-07 -5.13167494599e-06
3355.2 -1.00670572277e-07 -4.39770240057e-06
3357.6 -5.89243277022e-07 -3.80531325286e-06
3360.0 -1.14922437507e-06 -3.42753291425e-06
3362.4 -2.24917962072e-06 -3.07926260482e-06
3364.8 -3.74973402432e-06 -2.67570245715e-06
3367.2 -4.80076122603e-06 -2.35522121783e-06
3369.6 -4.72129697381e-06 -2.25843108833e-06
3372.0 -3.7218304988e-06 -2.28682508234e-06
3374.4 -2.6508082513e-06 -2.13906139461e-06
3376.8 -2.2483882845e-06 -1.58358829768e-06
3379.2 -2.69800539772e-06 -6.63385152137e-07
3381.6 -3.61179549069e-06 3.86499066938e-07
3384.0 -4.27838772069e-06 1.39456895659e-06
3386.4 -4.13972291065e-06 2.37629180505e-06
3388.8 -3.2541927222e-06 3.38926701782e-06
3391.2 -2.22241398463e-06 4.324138785e-06
3393.6 -1.55999371941e-06 4.92739889862e-06
3396.0 -1.26076506544e-06 5.04165905811e-06
3398.4 -1.01792926211e-06 4.75442101849e-06
3400.8 -6.10540549854e-07 4.28609803926e-06
3403.2 9.74949661063e-08 3.78627168764e-06
3405.6 1.24300885224e-06 3.27223205553e-06
3408.0 2.69367879123e-06 2.72190430474e-06
3410.4 3.82524956228e-06 2.15733924186e-06
3412.8 3.93840236822e-06 1.61232199108e-06
3415.2 2.9632048956e-06 1.04942816335e-06
3417.6 1.5782489331e-06 3.57638655956e-07
3420.0 5.95766630909e-07 -5.40439899823e-07
3422.4 3.00623172809e-07 -1.57582331841e-06
3424.8 3.419169918e-07 -2.53960129487e-06
3427.2 1.40362363616e-07 -3.22903532116e-06
3429.6 -6.12206777237e-07 -3.60709232739e-06
3432.0 -1.72663719578e-06 -3.80591173827e-06
3434.4 -2.66784140838e-06 -3.95595723519e-06
3436.8 -2.95110380247e-06 -4.02314596196e-06
3439.2 -2.51935564794e-06 -3.83880421173e-06
3441.6 -1.82376964324e-06 -3.28847165827e-06
3444.0 -1.48542928036e-06 -2.44629953266e-06
3446.4 -1.77744655966e-06 -1.52247062642e-06
3448.8 -2.42771878256e-06 -7.08111681263e-07
3451.2 -2.92907572793e-06 -9.07150137808e-08
3453.6 -2.95052756461e-06 3.02729901785e-07
3456.0 -2.43224430513e-06 4.62191754454e-07
3458.4 -1.49389485039e-06 4.71431744748e-07
3460.8 -4.66568015905e-07 5.79544594117e-07
3463.2 1.07094521648e-07 1.05559393284e-06
3465.6 -1.20964922497e-07 1.91295489176e-06
3468.0 -7.77221928992e-07 2.84363301943e-06
3470.4 -9.69639940473e-07 3.49667707104e-06
3472.8 -2.79295436618e-07 3.79839303768e-06
3475.2 6.67989065074e-07 3.93127572662e-06
3477.6 9.10376760171e-07 4.03151564206e-06
3480.0 2.70588144989e-07 4.02818781823e-06
3482.4 -5.36636206055e-07 3.79454353474e-06
3484.8 -7.9432319883e-07 3.33229858309e-06
3487.2 -4.10051691844e-07 2.7422281484e-06
3489.6 3.43299219249e-07 2.10422190023e-06
3492.0 1.27119042038e-06 1.4846399805e-06
3494.4 2.15710886183e-06 1.01544242873e-06
3496.8 2.52755221789e-06 8.2317782028e-07
3499.2 2.03875431359e-06 8.20297683458e-07
3501.6 1.10514671792e-06 6.77685219948e-07
3504.0 6.75893224459e-07 1.42390991121e-07
3506.4 1.18710480734e-06 -6.50604283475e-07
3508.8 2.00817757474e-06 -1.32064459287e-06
3511.2 2.13438492238e-06 -1.68919833947e-06
3513.6 1.30965058442e-06 -1.93434908954e-06
3516.0 3.10197471607e-07 -2.2532212071e-06
3518.4 1.34561535888e-07 -2.52161573442e-06
3520.8 1.00749937413e-06 -2.43166949406e-06
3523.2 2.22258573672e-06 -1.90737538984e-06
3525.6 2.88095450534e-06 -1.22062990197e-06
3528.0 2.63453478161e-06 -6.77642138072e-07
3530.4 1.71984946655e-06 -3.40139116622e-07
3532.8 5.28729497495e-07 -1.35678073958e-07
3535.2 -6.25540142681e-07 -1.06805211256e-07
3537.6 -1.41750670686e-06 -3.73475985343e-07
3540.0 -1.5238600774e-06 -8.74928625144e-07
3542.4 -9.54334707525e-07 -1.31448286133e-06
3544.8 -2.50562799344e-07 -1.41590621499e-06
3547.2 -6.15109613198e-08 -1.15546175711e-06
3549.6 -4.3826139155e-07 -7.02083859509e-07
3552.0 -7.29484765954e-07 -1.88922437342e-07
3554.4 -2.93951622999e-07 3.91786980485e-07
3556.8 7.74809518398e-07 1.07377441867e-06
