# 1:time 2:flux 3:mass
3048 1.02286e-07 4.17392e-05
3052.8 1.01832e-07 4.2228e-05
3057.6 1.01354e-07 4.27145e-05
3062.4 1.00854e-07 4.31986e-05
3067.2 1.00342e-07 4.36802e-05
3072 9.98207e-08 4.41593e-05
3076.8 9.9293e-08 4.4636e-05
3081.6 9.87674e-08 4.511e-05
3086.4 9.82517e-08 4.55816e-05
3091.2 9.77529e-08 4.60509e-05
3096 9.72921e-08 4.65179e-05
3100.8 9.69154e-08 4.69831e-05
3105.6 9.66671e-08 4.74471e-05
3110.4 9.65595e-08 4.79105e-05
3115.2 9.65519e-08 4.8374e-05
3120 9.65901e-08 4.88376e-05
3124.8 9.66412e-08 4.93015e-05
3129.6 9.66958e-08 4.97656e-05
3134.4 9.67754e-08 5.02302e-05
3139.2 9.69217e-08 5.06954e-05
3144 9.71875e-08 5.11619e-05
3148.8 9.76418e-08 5.16306e-05
3153.6 9.83262e-08 5.21025e-05
3158.4 9.92623e-08 5.2579e-05
3163.2 1.0045e-07 5.30611e-05
3168 1.0184e-07 5.355e-05
3172.8 1.03374e-07 5.40462e-05
3177.6 1.04958e-07 5.455e-05
3182.4 1.06518e-07 5.50613e-05
3187.2 1.08011e-07 5.55797e-05
3192 1.09426e-07 5.6105e-05
3196.8 1.10697e-07 5.66363e-05
3201.6 1.11845e-07 5.71732e-05
3206.4 1.12958e-07 5.77154e-05
3211.2 1.14154e-07 5.82633e-05
3216 1.15526e-07 5.88178e-05
3220.8 1.1711e-07 5.93799e-05
3225.6 1.18992e-07 5.99511e-05
3230.4 1.21185e-07 6.05328e-05
3235.2 1.23733e-07 6.11267e-05
3240 1.26568e-07 6.17342e-05
3244.8 1.29524e-07 6.23559e-05
3249.6 1.3245e-07 6.29917e-05
3254.4 1.35282e-07 6.36411e-05
3259.2 1.38e-07 6.43035e-05
3264 1.40703e-07 6.49788e-05
3268.8 1.43527e-07 6.56678e-05
3273.6 1.46585e-07 6.63714e-05
3278.4 1.49871e-07 6.70908e-05
3283.2 1.53393e-07 6.7827e-05
3288 1.57012e-07 6.85807e-05
3292.8 1.60605e-07 6.93516e-05
3297.6 1.64086e-07 7.01392e-05
3302.4 1.67456e-07 7.0943e-05
3307.2 1.70761e-07 7.17627e-05
3312 1.74052e-07 7.25981e-05
3316.8 1.7732e-07 7.34492e-05
3321.6 1.80564e-07 7.4316e-05
3326.4 1.83753e-07 7.5198e-05
3331.2 1.8679e-07 7.60946e-05
3336 1.89589e-07 7.70046e-05
3340.8 1.92146e-07 7.79269e-05
3345.6 1.94517e-07 7.88606e-05
3350.4 1.9677e-07 7.98051e-05
3355.2 1.99009e-07 8.07603e-05
3360 2.01301e-07 8.17266e-05
3364.8 2.03663e-07 8.27041e-05
3369.6 2.06083e-07 8.36933e-05
3374.4 2.08544e-07 8.46943e-05
3379.2 2.11027e-07 8.57073e-05
3384 2.13521e-07 8.67322e-05
3388.8 2.16015e-07 8.7769e-05
3393.6 2.18457e-07 8.88176e-05
3398.4 2.20812e-07 8.98775e-05
3403.2 2.22995e-07 9.09479e-05
3408 2.2495e-07 9.20277e-05
3412.8 2.26603e-07 9.31154e-05
3417.6 2.27892e-07 9.42092e-05
3422.4 2.28797e-07 9.53075e-05
3427.2 2.29346e-07 9.64083e-05
3432 2.29601e-07 9.75104e-05
3436.8 2.29666e-07 9.86128e-05
3441.6 2.29603e-07 9.97149e-05
3446.4 2.29448e-07 0.000100816
3451.2 2.29217e-07 0.000101917
3456 2.28912e-07 0.000103015
3460.8 2.28527e-07 0.000104112
3465.6 2.28048e-07 0.000105207
3470.4 2.27454e-07 0.000106299
3475.2 2.2674e-07 0.000107387
3480 2.25943e-07 0.000108471
3484.8 2.25166e-07 0.000109552
3489.6 2.24529e-07 0.00011063
3494.4 2.24183e-07 0.000111706
3499.2 2.24221e-07 0.000112782
3504 2.24633e-07 0.000113861
3508.8 2.25254e-07 0.000114942
3513.6 2.25884e-07 0.000116026
3518.4 2.26428e-07 0.000117113
3523.2 2.26816e-07 0.000118202
3528 2.27064e-07 0.000119292
3532.8 2.2736e-07 0.000120383
3537.6 2.27801e-07 0.000121476
3542.4 2.28346e-07 0.000122572
3547.2 2.28948e-07 0.000123671
3552 2.29645e-07 0.000124774
3556.8 2.30568e-07 0.00012588
3561.6 2.31704e-07 0.000126993
3566.4 2.32949e-07 0.000128111
3571.2 2.34057e-07 0.000129234
3576 2.3486e-07 0.000130361
3580.8 2.35432e-07 0.000131492
3585.6 2.35938e-07 0.000132624
3590.4 2.36412e-07 0.000133759
3595.2 2.36808e-07 0.000134896
3600 2.37075e-07 0.000136033
3604.8 2.37287e-07 0.000137172
3609.6 2.37586e-07 0.000138313
3614.4 2.38062e-07 0.000139456
3619.2 2.38696e-07 0.000140601
3624 2.39485e-07 0.000141751
3628.8 2.40524e-07 0.000142905
3633.6 2.4179e-07 0.000144066
3638.4 2.43273e-07 0.000145234
3643.2 2.44917e-07 0.000146409
3648 2.46704e-07 0.000147593
3652.8 2.48676e-07 0.000148787
3657.6 2.50721e-07 0.000149991
3662.4 2.52458e-07 0.000151202
3667.2 2.53352e-07 0.000152418
3672 2.52862e-07 0.000153632
3676.8 2.54011e-07 0.000154851
3681.6 2.55221e-07 0.000156076
3686.4 2.56616e-07 0.000157308
3691.2 2.58276e-07 0.000158548
3696 2.60595e-07 0.000159799
3700.8 2.63585e-07 0.000161064
3705.6 2.66575e-07 0.000162344
3710.4 2.68947e-07 0.000163635
3715.2 2.71068e-07 0.000164936
3720 2.72961e-07 0.000166246
3724.8 2.74755e-07 0.000167565
3729.6 2.76374e-07 0.000168891
3734.4 2.77777e-07 0.000170225
3739.2 2.79146e-07 0.000171565
3744 2.80011e-07 0.000172909
3748.8 2.81162e-07 0.000174258
3753.6 2.8236e-07 0.000175613
3758.4 2.83218e-07 0.000176973
3763.2 2.83802e-07 0.000178335
3768 2.85049e-07 0.000179703
3772.8 2.86032e-07 0.000181076
3777.6 2.86577e-07 0.000182452
3782.4 2.86786e-07 0.000183829
3787.2 2.87033e-07 0.000185206
3792 2.87523e-07 0.000186586
3796.8 2.88089e-07 0.000187969
3801.6 2.88111e-07 0.000189352
3806.4 2.88579e-07 0.000190737
3811.2 2.88948e-07 0.000192124
3816 2.89499e-07 0.000193514
3820.8 2.90141e-07 0.000194907
3825.6 2.90528e-07 0.000196301
3830.4 2.90816e-07 0.000197697
3835.2 2.91159e-07 0.000199095
3840 2.91324e-07 0.000200493
3844.8 2.91649e-07 0.000201893
3849.6 2.91758e-07 0.000203293
3854.4 2.91687e-07 0.000204693
3859.2 2.92143e-07 0.000206096
3864 2.92043e-07 0.000207497
3868.8 2.92216e-07 0.0002089
3873.6 2.92353e-07 0.000210303
3878.4 2.92917e-07 0.000211709
3883.2 2.92464e-07 0.000213113
3888 2.93488e-07 0.000214522
3892.8 2.94801e-07 0.000215937
3897.6 2.96291e-07 0.000217359
3902.4 2.97562e-07 0.000218787
3907.2 2.98984e-07 0.000220223
3912 3.00634e-07 0.000221666
3916.8 3.02337e-07 0.000223117
3921.6 3.05193e-07 0.000224582
3926.4 3.06631e-07 0.000226054
3931.2 3.07625e-07 0.00022753
3936 3.09069e-07 0.000229014
3940.8 3.10091e-07 0.000230502
3945.6 3.10365e-07 0.000231992
3950.4 3.10798e-07 0.000233484
3955.2 3.11345e-07 0.000234978
3960 3.11188e-07 0.000236472
3964.8 3.10809e-07 0.000237964
3969.6 3.0868e-07 0.000239445
3974.4 3.07645e-07 0.000240922
3979.2 3.06455e-07 0.000242393
3984 3.04137e-07 0.000243853
3988.8 3.02082e-07 0.000245303
3993.6 3.00649e-07 0.000246746
3998.4 2.96807e-07 0.000248171
4003.2 2.94043e-07 0.000249582
4008 2.93881e-07 0.000250993
4012.8 2.91499e-07 0.000252392
4017.6 2.8874e-07 0.000253778
4022.4 2.85595e-07 0.000255149
4027.2 2.83455e-07 0.000256509
4032 2.81555e-07 0.000257861
