# 1:time 2:mass 3:einf>=0
6168.0 0.00071117059 0.00038169976
6172.8 0.0007118027 0.00038170157
6177.6 0.00071243492 0.00038170353
6182.4 0.00071306729 0.00038170566
6187.2 0.00071369979 0.00038170794
6192.0 0.00071433243 0.00038171033
6196.8 0.00071496523 0.00038171294
6201.6 0.00071559824 0.00038171575
6206.4 0.00071623151 0.00038171878
6211.2 0.00071686516 0.00038172212
6216.0 0.0007174993 0.00038172561
6220.8 0.00071813409 0.0003817292
6225.6 0.00071876971 0.00038173305
6230.4 0.00071940635 0.00038173705
6235.2 0.00072004421 0.00038174125
6240.0 0.00072068355 0.0003817457
6244.8 0.00072132463 0.00038175025
6249.6 0.00072196771 0.00038175513
6254.4 0.000722613 0.00038176003
6259.2 0.00072326079 0.00038176522
6264.0 0.0007239113 0.00038177043
6268.8 0.00072456479 0.00038177553
6273.6 0.00072522153 0.00038178061
6278.4 0.0007258817 0.0003817857
6283.2 0.0007265454 0.00038179064
6288.0 0.00072721261 0.00038179545
6292.8 0.00072788325 0.0003818002
6297.6 0.00072855724 0.00038180483
6302.4 0.00072923443 0.00038180939
6307.2 0.00072991458 0.00038181379
6312.0 0.00073059748 0.00038181816
6316.8 0.00073128295 0.00038182235
6321.6 0.0007319708 0.00038182652
6326.4 0.00073266081 0.00038183064
6331.2 0.00073335268 0.00038183468
6336.0 0.00073404618 0.0003818387
6340.8 0.00073474109 0.00038184265
6345.6 0.0007354372 0.0003818467
6350.4 0.0007361344 0.00038185066
6355.2 0.00073683253 0.00038185466
6360.0 0.00073753136 0.00038185859
6364.8 0.00073823074 0.00038186245
6369.6 0.00073893056 0.00038186635
6374.4 0.00073963066 0.00038187021
6379.2 0.00074033083 0.00038187403
6384.0 0.00074103085 0.0003818779
6388.8 0.0007417305 0.00038188181
6393.6 0.00074242958 0.00038188568
6398.4 0.00074312794 0.00038188952
6403.2 0.00074382537 0.0003818935
6408.0 0.0007445218 0.00038189747
6412.8 0.0007452172 0.00038190144
6417.6 0.00074591155 0.00038190556
6422.4 0.0007466048 0.00038190982
6427.2 0.00074729685 0.00038191413
6432.0 0.00074798763 0.00038191845
6436.8 0.00074867706 0.00038192283
6441.6 0.00074936503 0.00038192718
6446.4 0.00075005138 0.00038193171
6451.2 0.00075073595 0.00038193625
6456.0 0.00075141862 0.00038194094
6460.8 0.00075209932 0.00038194563
6465.6 0.00075277799 0.00038195026
6470.4 0.00075345461 0.00038195488
6475.2 0.00075412912 0.00038195949
6480.0 0.00075480153 0.00038196411
6484.8 0.00075547186 0.00038196875
6489.6 0.00075614015 0.0003819734
6494.4 0.00075680644 0.00038197805
6499.2 0.00075747078 0.00038198273
6504.0 0.00075813322 0.00038198735
6508.8 0.00075879382 0.00038199196
6513.6 0.00075945262 0.00038199657
6518.4 0.00076010961 0.00038200117
6523.2 0.00076076483 0.00038200575
6528.0 0.00076141823 0.0003820103
6532.8 0.00076206981 0.00038201479
6537.6 0.00076271952 0.00038201933
6542.4 0.00076336731 0.00038202391
6547.2 0.00076401315 0.00038202849
6552.0 0.00076465697 0.00038203302
6556.8 0.00076529872 0.00038203758
6561.6 0.00076593837 0.00038204216
6566.4 0.00076657587 0.00038204679
6571.2 0.00076721117 0.00038205149
6576.0 0.00076784424 0.0003820562
6580.8 0.00076847503 0.00038206088
6585.6 0.00076910352 0.00038206559
6590.4 0.00076972968 0.00038207035
6595.2 0.0007703535 0.00038207515
6600.0 0.00077097496 0.0003820801
6604.8 0.00077159402 0.00038208503
6609.6 0.00077221066 0.00038208998
6614.4 0.00077282486 0.00038209488
6619.2 0.00077343661 0.00038209988
6624.0 0.0007740459 0.00038210476
6628.8 0.00077465272 0.00038210954
6633.6 0.00077525705 0.00038211433
6638.4 0.00077585886 0.00038211914
6643.2 0.00077645814 0.00038212383
6648.0 0.00077705488 0.00038212847
6652.8 0.00077764904 0.00038213299
6657.6 0.00077824061 0.00038213768
6662.4 0.00077882956 0.00038214241
6667.2 0.00077941587 0.00038214713
6672.0 0.00077999951 0.0003821518
6676.8 0.00078058049 0.00038215654
6681.6 0.00078115879 0.00038216126
6686.4 0.0007817344 0.00038216597
6691.2 0.00078230734 0.00038217072
6696.0 0.0007828776 0.00038217545
6700.8 0.00078344519 0.00038218013
6705.6 0.00078401011 0.00038218479
6710.4 0.00078457238 0.00038218944
6715.2 0.00078513202 0.00038219393
6720.0 0.00078568906 0.00038219836
6724.8 0.00078624352 0.00038220272
6729.6 0.00078679542 0.00038220719
6734.4 0.00078734482 0.00038221164
6739.2 0.00078789176 0.00038221606
6744.0 0.00078843627 0.00038222042
6748.8 0.0007889784 0.00038222463
6753.6 0.00078951817 0.00038222881
6758.4 0.00079005562 0.00038223296
6763.2 0.00079059076 0.00038223708
6768.0 0.00079112363 0.00038224108
6772.8 0.00079165422 0.00038224494
6777.6 0.00079218254 0.0003822487
6782.4 0.00079270859 0.00038225237
6787.2 0.00079323237 0.00038225605
6792.0 0.00079375389 0.00038225966
6796.8 0.00079427313 0.00038226311
6801.6 0.00079479009 0.00038226657
6806.4 0.00079530475 0.00038226989
6811.2 0.0007958171 0.00038227318
6816.0 0.00079632715 0.00038227631
6820.8 0.00079683489 0.0003822793
6825.6 0.00079734031 0.00038228215
6830.4 0.00079784341 0.00038228491
6835.2 0.00079834418 0.00038228752
6840.0 0.00079884262 0.00038229013
6844.8 0.00079933871 0.00038229261
6849.6 0.00079983246 0.00038229514
6854.4 0.00080032384 0.00038229755
6859.2 0.00080081287 0.00038229989
6864.0 0.00080129954 0.00038230215
6868.8 0.00080178386 0.00038230435
6873.6 0.00080226581 0.00038230649
6878.4 0.0008027454 0.00038230853
6883.2 0.00080322262 0.00038231056
6888.0 0.00080369747 0.00038231246
6892.8 0.00080416996 0.00038231434
6897.6 0.00080464009 0.00038231623
6902.4 0.00080510786 0.00038231802
6907.2 0.00080557328 0.00038231977
6912.0 0.00080603636 0.00038232151
6916.8 0.00080649709 0.00038232324
6921.6 0.00080695547 0.00038232493
6926.4 0.00080741151 0.00038232658
6931.2 0.00080786522 0.00038232822
6936.0 0.00080831658 0.00038232974
6940.8 0.00080876561 0.00038233121
6945.6 0.00080921232 0.00038233268
6950.4 0.00080965669 0.00038233416
6955.2 0.00081009873 0.00038233547
6960.0 0.00081053844 0.0003823367
6964.8 0.00081097583 0.00038233791
6969.6 0.0008114109 0.00038233909
6974.4 0.00081184366 0.00038234021
6979.2 0.00081227412 0.00038234131
6984.0 0.00081270228 0.00038234234
6988.8 0.00081312817 0.0003823433
6993.6 0.00081355177 0.00038234415
6998.4 0.00081397309 0.00038234497
7003.2 0.00081439216 0.00038234571
7008.0 0.00081480897 0.00038234645
7012.8 0.00081522353 0.00038234694
7017.6 0.00081563585 0.00038234728
7022.4 0.00081604594 0.00038234761
7027.2 0.00081645381 0.00038234793
7032.0 0.00081685944 0.00038234817
7036.8 0.00081726285 0.00038234838
7041.6 0.00081766404 0.00038234866
7046.4 0.00081806301 0.00038234894
7051.2 0.00081845978 0.00038234923
7056.0 0.00081885434 0.00038234951
7060.8 0.0008192467 0.00038234958
7065.6 0.00081963687 0.00038234965
7070.4 0.00082002486 0.00038234965
7075.2 0.00082041068 0.00038234965
7080.0 0.00082079434 0.00038234965
7084.8 0.00082117586 0.00038234965
7089.6 0.00082155527 0.00038234965
7094.4 0.00082193259 0.00038234965
7099.2 0.00082230786 0.00038234965
7104.0 0.00082268109 0.00038234965
7108.8 0.00082305231 0.00038234965
7113.6 0.00082342154 0.00038234965
7118.4 0.0008237888 0.00038234965
7123.2 0.00082415413 0.00038234965
7128.0 0.00082451752 0.00038234965
7132.8 0.00082487899 0.00038234965
7137.6 0.00082523855 0.00038234965
7142.4 0.00082559619 0.00038234965
7147.2 0.00082595193 0.00038234965
7152.0 0.00082630576 0.00038234965
7156.8 0.0008266577 0.00038234965
7161.6 0.00082700773 0.00038234965
7166.4 0.00082735588 0.00038234965
7171.2 0.00082770213 0.00038234965
7176.0 0.00082804651 0.00038234965
7180.8 0.00082838903 0.00038234965
7185.6 0.0008287297 0.00038234965
7190.4 0.00082906855 0.00038234965
7195.2 0.00082940558 0.00038234965
7200.0 0.0008297408 0.00038234965
7204.8 0.00083007423 0.00038234965
7209.6 0.00083040587 0.00038234965
7214.4 0.00083073572 0.00038234965
7219.2 0.00083106378 0.00038234965
7224.0 0.00083139005 0.00038234965
7228.8 0.00083171451 0.00038234965
7233.6 0.00083203719 0.00038234965
7238.4 0.00083235808 0.00038234965
7243.2 0.00083267719 0.00038234965
7248.0 0.00083299453 0.00038234965
7252.8 0.00083331014 0.00038234965
7257.6 0.00083362404 0.00038234965
7262.4 0.00083393629 0.00038234965
7267.2 0.00083424695 0.00038234965
7272.0 0.00083455607 0.00038234965
7276.8 0.00083486378 0.00038234965
7281.6 0.00083517018 0.00038234965
7286.4 0.00083547543 0.00038234965
7291.2 0.00083577967 0.00038234965
7296.0 0.00083608306 0.00038234965
7300.8 0.00083638579 0.00038234965
7305.6 0.00083668803 0.00038234965
7310.4 0.00083698996 0.00038234965
7315.2 0.00083729172 0.00038234965
7320.0 0.00083759347 0.00038234965
7324.8 0.00083789534 0.00038234965
7329.6 0.00083819739 0.00038234965
7334.4 0.00083849977 0.00038234965
7339.2 0.00083880256 0.00038234965
7344.0 0.00083910582 0.00038234965
7348.8 0.00083940963 0.00038234965
7353.6 0.00083971401 0.00038234965
7358.4 0.00084001899 0.00038234965
7363.2 0.0008403246 0.00038234965
7368.0 0.00084063088 0.00038234965
7372.8 0.00084093784 0.00038234965
7377.6 0.00084124547 0.00038234965
7382.4 0.00084155373 0.00038234965
7387.2 0.00084186256 0.00038234965
7392.0 0.00084217189 0.00038234965
7396.8 0.00084248165 0.00038234965
