                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
       4463.44224231       19.6868296672       20.7319274467       19.0175632428       18.5245543316         18.96036286       18.2064527526       20.7676203826       18.6712484608       18.7362867328       18.3781149863       19.0970239639       18.3241317753       20.2071868726
       4477.57603617       19.6827585071       20.7275907456       19.0138343225       18.5213345609       18.9566760965       18.2041366285       20.7632775852       18.6678328328       18.7327995482       18.3751690446       19.0932410396       18.3213231975       20.2029586804
       4491.75458564       19.6786890751       20.7232554051       19.0101076152       18.5181177193       18.9529916059        18.201824615       20.7589361401       18.6644198609       18.7293149191       18.3722264052       19.0894602514       18.3185181049       20.1987319973
       4505.97803246       19.6746199183       20.7189202048       19.0063813653       18.5149015954       18.9493075953       18.1995136755       20.7545948323         18.66100751       18.7258308745       18.3692846087        19.085679892       18.3157139127       20.1945055082
       4520.24651879       19.6705571357       20.7145904654       19.0026626807       18.5116948097       18.9456312969       18.1972151509       20.7502589646       18.6576038168       18.7223552383       18.3663530953       19.0819069093       18.3129204738       20.1902848515
       4534.56018725       19.6664977376       20.7102633087       18.9989484404       18.5084940729       18.9419595748       18.1949255337       20.7459256614        18.654205553       18.7188848057       18.3634284983       19.0781382024       18.3101343867       20.1860671023
       4548.91918093       19.6624371198       20.7059349484       18.9952329729       18.5052920975        18.938286625       18.1926345849       20.7415911553       18.6508060568       18.7154131422       18.3605026475       19.0743682691       18.3073470342       20.1818481411
       4563.32364333       19.6583844692       20.7016135573       18.9915267748       18.5021013325       18.9346231054       18.1903582283       20.7372635956       18.6474170256       18.7119516708       18.3575890435        19.070607399       18.3045724452       20.1776365551
       4577.77371844       19.6543370152       20.6972965774       18.9878268103       18.4989183692       18.9309659484       18.1880924583       20.7329404294        18.644035191       18.7084971754       18.3546840877       19.0668525976       18.3018069286       20.1734296984
        4592.2695507       19.6502922902       20.6929818787       18.9841301807       18.4957396741       18.9273122026       18.1858326348       20.7286195344       18.6406572629        18.705046455       18.3517839089        19.063101034       18.2990464445       20.1692253029
         4606.811285       19.6462478258       20.6886673298       18.9804339505       18.4925615444       18.9236588721       18.1835734718       20.7242987867       18.6372798439       18.7015962206       18.3488843546       19.0593498487       18.2962866052       20.1650211022
       4621.39906669        19.642207212       20.6843558305       18.9767426228       18.4893898949       18.9200105746       18.1813235554       20.7199810704       18.6339082982       18.6981516376       18.3459921261       19.0556033992        18.293534514        20.160820276
       4636.03304159       19.6381713658       20.6800483925       18.9730569962       18.4862253554       18.9163680942       18.1790832352       20.7156673995       18.6305433194       18.6947134232        18.343107766       19.0518625023       18.2907906702       20.1566237972
       4650.71335597       19.6341408186       20.6757455803       18.9693775449       18.4830682814        18.912731897        18.176852548       20.7113583392       18.6271853138       18.6912820008       18.3402315482       19.0481276424       18.2880553024       20.1524322179
       4665.44015656        19.630112652       20.6714446386       18.9657011531       18.4799152917       18.9090988438       18.1746277303       20.7070511378       18.6238309978       18.6878541238       18.3373599633       19.0443957339       18.2853248406       20.1482427151
       4680.21359056       19.6260873736       20.6671458919       18.9620285736       18.4767675257       18.9054697185       18.1724106782       20.7027461159       18.6204813593       18.6844307254       18.3344943704       19.0406674901       18.2826007573       20.1440556873
       4695.03380566        19.622068168       20.6628523605       18.9583631824       18.4736285975       18.9018479189       18.1702052838       20.6984462898       18.6171399273       18.6810153019       18.3316384874       19.0369462586        18.279886816       20.1398742237
