# Outflow
# detector no.=0
# gnuplot column index:
# 1:it 2:t 3:flux 4:avg(w_lorentz) 5:avg(eninf) 6:eninf>=0
126976	1190.4	1.35316602e-09	1.00639127	-0.00609188703	3.66020472e-10
127488	1195.2	1.36078878e-09	1.00642537	-0.00605162429	3.55874209e-10
128000	1200	1.36838888e-09	1.00645971	-0.00601169332	3.45648074e-10
128512	1204.8	1.37636867e-09	1.00649666	-0.00597091686	3.41064173e-10
129024	1209.6	1.38477116e-09	1.00653596	-0.00593021833	3.3491363e-10
129536	1214.4	1.39375974e-09	1.00657825	-0.00588931155	3.32262129e-10
130048	1219.2	1.40350453e-09	1.0066239	-0.00584780413	3.31099438e-10
130560	1224	1.4142063e-09	1.00667343	-0.00580455313	3.3185764e-10
131072	1228.8	1.42588666e-09	1.00672765	-0.00575766576	3.41729822e-10
131584	1233.6	1.43867571e-09	1.00678742	-0.00570515027	3.48884514e-10
132096	1238.4	1.45276087e-09	1.0068537	-0.00564485623	3.58581607e-10
132608	1243.2	1.468176e-09	1.00692646	-0.00557581637	3.70350418e-10
133120	1248	1.48502979e-09	1.0070063	-0.00549700032	3.9347619e-10
133632	1252.8	1.50338363e-09	1.00709345	-0.00540820275	4.09124965e-10
134144	1257.6	1.52321703e-09	1.00718776	-0.00531009041	4.27684742e-10
134656	1262.4	1.54448732e-09	1.00728891	-0.00520394167	4.61667984e-10
135168	1267.2	1.56710911e-09	1.00739635	-0.00509141592	4.89365243e-10
135680	1272	1.59097565e-09	1.00750942	-0.00497437552	5.11861588e-10
136192	1276.8	1.61597403e-09	1.00762745	-0.00485450059	5.38473461e-10
136704	1281.6	1.64197705e-09	1.00774971	-0.00473304764	5.66108136e-10
137216	1286.4	1.66884172e-09	1.00787542	-0.00461086535	6.11611267e-10
137728	1291.2	1.69643198e-09	1.00800387	-0.00448839206	6.38876964e-10
138240	1296	1.72433798e-09	1.00813318	-0.0043667455	6.7336612e-10
138752	1300.8	1.75260123e-09	1.0082635	-0.00424460104	7.02787123e-10
139264	1305.6	1.78115194e-09	1.00839455	-0.00412107065	7.31987016e-10
139776	1310.4	1.8097402e-09	1.00852528	-0.00399619278	7.6572957e-10
140288	1315.2	1.83859883e-09	1.00865664	-0.00386822204	7.94178027e-10
140800	1320	1.86759647e-09	1.00878819	-0.00373712393	8.34116951e-10
141312	1324.8	1.89659791e-09	1.00891935	-0.00360388491	8.73641059e-10
141824	1329.6	1.9256189e-09	1.00905024	-0.00346925314	9.1533064e-10
142336	1334.4	1.95441334e-09	1.00917979	-0.00333511481	9.47223439e-10
142848	1339.2	1.98297323e-09	1.00930788	-0.00320276417	9.75417872e-10
143360	1344	2.01145435e-09	1.00943527	-0.00307258137	1.01563221e-09
143872	1348.8	2.03995391e-09	1.0095622	-0.00294498429	1.05913358e-09
144384	1353.6	2.06831779e-09	1.00968826	-0.00282089176	1.09475287e-09
144896	1358.4	2.09651184e-09	1.00981325	-0.00270037411	1.13478258e-09
145408	1363.2	2.12451967e-09	1.00993716	-0.00258279774	1.18429689e-09
145920	1368	2.15225329e-09	1.01005978	-0.00246764376	1.21836097e-09
146432	1372.8	2.17966257e-09	1.01018092	-0.00235389371	1.27776427e-09
146944	1377.6	2.2067168e-09	1.01030054	-0.00224046327	1.32702313e-09
147456	1382.4	2.23337147e-09	1.01041855	-0.00212663955	1.37509741e-09
147968	1387.2	2.25960094e-09	1.01053475	-0.00201208267	1.42299232e-09
148480	1392	2.28527941e-09	1.01064879	-0.00189722427	1.45877543e-09
148992	1396.8	2.31031016e-09	1.01076035	-0.00178283302	1.50386041e-09
149504	1401.6	2.33456954e-09	1.01086894	-0.00167006047	1.5474995e-09
150016	1406.4	2.35789614e-09	1.010974	-0.00156052586	1.57697437e-09
150528	1411.2	2.38026937e-09	1.01107522	-0.00145568756	1.61610646e-09
